place_name,review_text,sentiment_food,sentiment_service,sentiment_price,sentiment_global
Las Violetas,Costoso.,NEU,NEU,NEG,NEG
Pizzería Guerrin,Nos llego todo frio.,NEG,NEU,NEU,NEG
La Mezzetta,Bastante barato y ambiente estandar.,NEU,NEU,POS,POS
Pizzería Guerrin,Cumplieron con el pedido y el lugar esta bueno.,NEU,NEU,NEU,POS
Don Julio,"El mozo super amable, un poco caro y la carne era una manteca.",POS,POS,NEG,POS
La Parolaccia,Lo que esperas pagar y mala ambientacion.,NEU,NEU,NEU,NEG
El Pobre Luis,Buen ambiente y vino frio.,NEG,NEU,NEU,NEU
El Pobre Luis,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
La Mezzetta,La atención normal.,NEU,NEU,NEU,NEU
Don Julio,Lugar normal y nadie nos prestaba atención.,NEU,NEG,NEU,NEG
La Parolaccia,Nada especial el lugar.,NEU,NEU,NEU,NEU
Don Julio,Lugar feo y ideal para perder el tiempo.,NEU,NEG,NEU,NEG
Las Violetas,Atención rápida y cordial y nada del otro mundo la comida.,NEU,POS,NEU,POS
Antares,Muy atentos en todo momento.,NEU,POS,NEU,POS
Don Julio,Ambiente estandar.,NEU,NEU,NEU,NEU
Rapanui,Lugar normal.,NEU,NEU,NEU,NEU
Las Violetas,Todo helado y tiempos de espera normales.,NEG,NEU,NEU,NEG
La Mezzetta,"Nos llego todo frio, la atención normal y precio acorde.",NEG,NEU,NEU,NEG
Las Violetas,Muy mala onda los empleados.,NEU,NEG,NEU,NEG
Las Violetas,La atención normal.,NEU,NEU,NEU,NEU
El Pobre Luis,"Precios altos, lugar sucio y atención rápida y cordial.",NEU,POS,NEG,NEG
El Pobre Luis,La pizza es la mejor de buenos aires.,POS,NEU,NEU,POS
La Parolaccia,Todo tenía sabor feo y mala ambientacion.,NEG,NEU,NEU,NEG
Don Julio,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
La Parolaccia,"Todo muy rico, lugar sucio y falta personal.",POS,NEG,NEU,NEG
El Cuartito,Precios elevados.,NEU,NEU,NEG,NEG
La Parolaccia,Se deja comer y precio acorde.,NEU,NEU,NEU,NEU
La Parolaccia,Costoso y lugar normal.,NEU,NEU,NEG,NEG
Don Julio,La comida una obra de arte abstracto del horror y brillante atencion si no tienes prisa.,NEG,NEG,NEU,NEG
Don Julio,La atención fue genial y el lugar es hermoso.,NEU,POS,NEU,POS
Sottovoce,El lugar es hermoso y todo tenía sabor feo.,NEG,NEU,NEU,NEU
Don Julio,Sabroso y fresco y una estafa el precio.,POS,NEU,NEG,NEU
Pizzería Guerrin,Platos estándar.,NEU,NEU,NEU,NEU
Pizzería Guerrin,Me gusto mucho.,POS,NEU,NEU,POS
Pizzería Guerrin,Ambiente estandar.,NEU,NEU,NEU,NEU
El Pobre Luis,"Ambiente estandar, la pizza estaba cruda y me pareció carísimo.",NEG,NEU,NEG,NEG
Antares,Lindo lugar.,NEU,NEU,NEU,POS
La Cabrera,"Nada especial el lugar, la carne estaba dura y buen precio.",NEG,NEU,POS,NEU
El Pobre Luis,Poco rico.,NEG,NEU,NEU,NEG
Don Julio,Lugar normal y destaco la atención.,NEU,POS,NEU,POS
Pizzería Guerrin,El lugar esta bueno y poco rico.,NEG,NEU,NEU,NEU
Sottovoce,No me gusto el ambiente.,NEU,NEU,NEU,NEG
La Mezzetta,Si te gusta esperar este es tu lugar y incomible.,NEG,NEG,NEU,NEG
La Parolaccia,Lo que esperas pagar.,NEU,NEU,NEU,NEU
La Mezzetta,Ambiente estandar y precio acorde.,NEU,NEU,NEU,NEU
Pizzería Guerrin,"Precios por las nubes, no me gusto el lugar y estaba rico.",POS,NEU,NEG,NEG
El Pobre Luis,"Lugar sucio, horrible sabor y me pareció carísimo.",NEG,NEU,NEG,NEG
El Cuartito,"No me gusto el ambiente, destaco la atención y se deja comer.",NEU,POS,NEU,NEU
Antares,Lindo lugar y todo muy rico.,POS,NEU,NEU,POS
Pizzería Guerrin,Nada especial el lugar.,NEU,NEU,NEU,NEU
Las Violetas,Tiempos de espera normales.,NEU,NEU,NEU,NEU
El Cuartito,La comida llegó fría y el mozo super amable.,NEG,POS,NEU,NEU
El Cuartito,Los platos son abundantes y deliciosos.,POS,NEU,NEU,POS
Sottovoce,"Lindo lugar, no vale lo que cuesta y tardaron mil años en atender.",NEU,NEG,NEG,NEG
Kansas,"Precios accesibles, el lugar esta bueno y la comida estaba exquisita.",POS,NEU,POS,POS
La Mezzetta,Atención sin destacar.,NEU,NEU,NEU,NEU
El Cuartito,Ambiente estandar y falta personal.,NEU,NEG,NEU,NEG
Don Julio,Atención sin destacar.,NEU,NEU,NEU,NEU
Sottovoce,Ni muy muy ni tan tan.,NEU,NEU,NEU,NEU
Rapanui,Me encanto esperar 2 horas y no me gusto el lugar.,NEU,NEG,NEU,NEG
Rapanui,Estaba rico y lugar sucio.,POS,NEU,NEU,NEU
Antares,Muy atentos en todo momento.,NEU,POS,NEU,POS
Pizzería Guerrin,"Precio acorde, la pizza estaba cruda y mala ambientacion.",NEG,NEU,NEU,NEG
Pizzería Guerrin,Precio acorde y el lugar es hermoso.,NEU,NEU,NEU,POS
El Pobre Luis,Lugar sucio y me encanto esperar 2 horas.,NEU,NEG,NEU,NEG
El Pobre Luis,Te arrancan la cabeza y ideal para perder el tiempo.,NEU,NEG,NEG,NEG
Sottovoce,Nos atendieron de maravilla.,NEU,POS,NEU,POS
Kansas,Horrible sabor.,NEG,NEU,NEU,NEG
Don Julio,La pizza estaba cruda y no es barato ni caro.,NEG,NEU,NEU,NEG
Rapanui,No me gusto el lugar y la comida una obra de arte abstracto del horror.,NEG,NEU,NEU,NEG
El Cuartito,Precios elevados.,NEU,NEU,NEG,NEG
Sottovoce,Se deja comer y me encanto esperar 2 horas.,NEU,NEG,NEU,NEG
Sottovoce,"Muy linda decoracion, excelente relación precio calidad y la atención fue genial.",NEU,POS,POS,POS
Pizzería Guerrin,"Lugar normal, me pareció carísimo y me encanto esperar 2 horas.",NEU,NEG,NEG,NEG
La Cabrera,"Te arrancan la cabeza, ambiente estandar y tiempos de espera normales.",NEU,NEU,NEG,NEG
La Mezzetta,No me gustó la comida.,NEG,NEU,NEU,NEG
La Mezzetta,"Si te gusta esperar este es tu lugar, mala ambientacion y la pizza es la mejor de buenos aires.",POS,NEG,NEU,NEG
Don Julio,La comida un desastre.,NEG,NEU,NEU,NEG
Sottovoce,Lugar sucio.,NEU,NEU,NEU,NEG
Pizzería Guerrin,Se deja comer y no es barato ni caro.,NEU,NEU,NEU,NEU
La Mezzetta,Costoso y genial si te gusta comer frio.,NEG,NEU,NEG,NEG
La Mezzetta,"Excelente relación precio calidad, me gusto el lugar y platos estándar.",NEU,NEU,POS,POS
Don Julio,No es caro.,NEU,NEU,POS,POS
La Parolaccia,"Precios por las nubes, la atención fue pésima y los platos son abundantes y deliciosos.",POS,NEG,NEG,NEG
Antares,El servicio correcto y ni muy muy ni tan tan.,NEU,NEU,NEU,NEU
Rapanui,La atención fue genial.,NEU,POS,NEU,POS
Pizzería Guerrin,Se deja comer.,NEU,NEU,NEU,NEU
Pizzería Guerrin,"Nos atendieron de maravilla, me encantó la comida y no vale lo que cuesta.",POS,POS,NEG,POS
Sottovoce,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
Las Violetas,La comida llegó fría y atención rápida y cordial.,NEG,POS,NEU,NEU
Rapanui,Nos atendieron de maravilla y precios altos.,NEU,POS,NEG,NEU
Antares,Mala ambientacion.,NEU,NEU,NEU,NEG
Rapanui,Cumplieron con el pedido.,NEU,NEU,NEU,NEU
Sottovoce,Lugar feo y no vale lo que cuesta.,NEU,NEU,NEG,NEG
La Parolaccia,Los mozos te tratan mal.,NEU,NEG,NEU,NEG
Las Violetas,Que rica comida.,POS,NEU,NEU,POS
El Cuartito,El lugar es hermoso y tiempos de espera normales.,NEU,NEU,NEU,POS
El Cuartito,Muy caro.,NEU,NEU,NEG,NEG
El Pobre Luis,No me gusto el lugar.,NEU,NEU,NEU,NEG
El Pobre Luis,El lugar es hermoso y platos estándar.,NEU,NEU,NEU,POS
Las Violetas,Nada especial el lugar y me gusto mucho.,POS,NEU,NEU,POS
El Pobre Luis,No me gusto el lugar.,NEU,NEU,NEU,NEG
Kansas,No es caro.,NEU,NEU,POS,POS
Antares,El servicio correcto.,NEU,NEU,NEU,NEU
La Mezzetta,"Atención sin destacar, comida aceptable y excelente relación precio calidad.",NEU,NEU,POS,POS
La Cabrera,La pizza es la mejor de buenos aires.,POS,NEU,NEU,POS
Rapanui,Precios de mercado.,NEU,NEU,NEU,NEU
La Mezzetta,"Precios de mercado, tiempos de espera normales y no estaba rico.",NEG,NEU,NEU,NEG
Don Julio,No me gusto el ambiente y ideal para perder el tiempo.,NEU,NEG,NEU,NEG
Sottovoce,Sabroso y fresco.,POS,NEU,NEU,POS
El Cuartito,"Lo que esperas pagar, ambiente estandar y ni muy muy ni tan tan.",NEU,NEU,NEU,NEU
El Cuartito,No me gusto el ambiente.,NEU,NEU,NEU,NEG
El Pobre Luis,Precios de mercado.,NEU,NEU,NEU,NEU
Las Violetas,Cumplieron con el pedido y nada especial el lugar.,NEU,NEU,NEU,NEU
Kansas,"Buen precio, nos llego todo frio y el lugar es hermoso.",NEG,NEU,POS,POS
Pizzería Guerrin,La atención normal.,NEU,NEU,NEU,NEU
Las Violetas,Estaba rico y lugar normal.,POS,NEU,NEU,POS
La Mezzetta,No vale lo que cuesta.,NEU,NEU,NEG,NEG
Las Violetas,Precios por las nubes.,NEU,NEU,NEG,NEG
Don Julio,Lugar feo.,NEU,NEU,NEU,NEG
La Cabrera,Precio acorde y estaba rico.,POS,NEU,NEU,POS
Rapanui,Precios de mercado.,NEU,NEU,NEU,NEU
Don Julio,Ni muy muy ni tan tan y precios por las nubes.,NEU,NEU,NEG,NEG
La Mezzetta,No me gusto el lugar y la comida un desastre.,NEG,NEU,NEU,NEG
El Cuartito,"La comida normal, buen precio y me gusto el lugar.",NEU,NEU,POS,POS
La Mezzetta,"Lugar feo, precio acorde y tardaron mil años en atender.",NEU,NEG,NEU,NEG
La Cabrera,No me gustó la comida y destaco la atención.,NEG,POS,NEU,NEU
Rapanui,Muy linda decoracion.,NEU,NEU,NEU,POS
Las Violetas,Me encanto esperar 2 horas y la comida una obra de arte abstracto del horror.,NEG,NEG,NEU,NEG
Rapanui,"Genial si te gusta comer frio, cumplieron con el pedido y lugar normal.",NEG,NEU,NEU,NEG
Don Julio,Muy atentos en todo momento y nada del otro mundo la comida.,NEU,POS,NEU,POS
Pizzería Guerrin,"Todo muy rico, cumplieron con el pedido y mala ambientacion.",POS,NEU,NEU,NEU
Rapanui,La atención normal y lo que esperas pagar.,NEU,NEU,NEU,NEU
Rapanui,El servicio correcto.,NEU,NEU,NEU,NEU
Antares,Muy mala onda los empleados y lugar normal.,NEU,NEG,NEU,NEG
Don Julio,No estaba rico y el servicio correcto.,NEG,NEU,NEU,NEG
Pizzería Guerrin,"Me encanto esperar 2 horas, precios de mercado y el lugar se cae a pedazos.",NEU,NEG,NEU,NEG
Kansas,Los mozos te tratan mal y buen ambiente.,NEU,NEG,NEU,NEU
Rapanui,Comida aceptable.,NEU,NEU,NEU,NEU
Antares,El servicio correcto y nada del otro mundo la comida.,NEU,NEU,NEU,NEU
La Parolaccia,"Cumplieron con el pedido, el lugar esta bueno y una estafa el precio.",NEU,NEU,NEG,NEU
El Cuartito,"Precios por las nubes, destaco la atención y todo muy rico.",POS,POS,NEG,POS
Kansas,"Genial si te gusta comer frio, la atención normal y nada especial el lugar.",NEG,NEU,NEU,NEG
Sottovoce,Servicio excelente.,NEU,POS,NEU,POS
Antares,Los platos son abundantes y deliciosos.,POS,NEU,NEU,POS
Antares,La comida estaba exquisita y lugar feo.,POS,NEU,NEU,NEU
El Pobre Luis,Si te gusta esperar este es tu lugar y buen ambiente.,NEU,NEG,NEU,NEU
Rapanui,Lugar sucio.,NEU,NEU,NEU,NEG
La Cabrera,Excelente sabor.,POS,NEU,NEU,POS
Don Julio,El lugar esta bueno y cumplieron con el pedido.,NEU,NEU,NEU,POS
El Cuartito,"Lugar feo, se deja comer y tiempos de espera normales.",NEU,NEU,NEU,NEG
Don Julio,"Los platos son abundantes y deliciosos, falta personal y mala ambientacion.",POS,NEG,NEU,NEG
Antares,Lugar normal.,NEU,NEU,NEU,NEU
La Mezzetta,No vale lo que cuesta y sabroso y fresco.,POS,NEU,NEG,NEU
Las Violetas,Atención sin destacar.,NEU,NEU,NEU,NEU
Don Julio,La carne estaba dura.,NEG,NEU,NEU,NEG
La Cabrera,La comida normal y cumplieron con el pedido.,NEU,NEU,NEU,NEU
La Mezzetta,El lugar esta bueno.,NEU,NEU,NEU,POS
La Cabrera,Poco bueno.,NEG,NEU,NEU,NEG
Sottovoce,Ideal para perder el tiempo y no es barato ni caro.,NEU,NEG,NEU,NEG
Don Julio,Muy linda decoracion y bastante barato.,NEU,NEU,POS,POS
La Mezzetta,Nos atendieron de maravilla.,NEU,POS,NEU,POS
La Mezzetta,La atención normal y regular la comida.,NEU,NEU,NEU,NEU
Pizzería Guerrin,No me gusto el lugar.,NEU,NEU,NEU,NEG
El Pobre Luis,Me gusto mucho.,POS,NEU,NEU,POS
Kansas,"Precio acorde, muy linda decoracion y brillante atencion si no tienes prisa.",NEU,NEG,NEU,NEU
Las Violetas,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
Sottovoce,Lugar normal.,NEU,NEU,NEU,NEU
Antares,"La atención fue pésima, nada especial el lugar y no es barato ni caro.",NEU,NEG,NEU,NEG
Antares,Estaba rico y mala ambientacion.,POS,NEU,NEU,NEU
La Parolaccia,No es caro y muy mala onda los empleados.,NEU,NEG,POS,NEU
Antares,Todo helado.,NEG,NEU,NEU,NEG
La Cabrera,La pizza estaba cruda.,NEG,NEU,NEU,NEG
El Pobre Luis,"Bien si te gusta lo crudo, no es caro y el mozo super amable.",NEG,POS,POS,POS
El Pobre Luis,Platos estándar.,NEU,NEU,NEU,NEU
Kansas,Falta personal.,NEU,NEG,NEU,NEG
Sottovoce,Lindo lugar.,NEU,NEU,NEU,POS
Rapanui,"No me gusto el ambiente, excelente relación precio calidad y platos estándar.",NEU,NEU,POS,NEU
Kansas,Lindo lugar y excelente relación precio calidad.,NEU,NEU,POS,POS
Rapanui,"La pizza estaba cruda, precios de mercado y lugar normal.",NEG,NEU,NEU,NEG
Rapanui,Lo que esperas pagar y el lugar se cae a pedazos.,NEU,NEU,NEU,NEG
Antares,La carne estaba dura.,NEG,NEU,NEU,NEG
El Cuartito,Mala ambientacion y tiempos de espera normales.,NEU,NEU,NEU,NEG
Las Violetas,La pizza estaba cruda y un poco caro.,NEG,NEU,NEG,NEG
Sottovoce,Precios elevados y lugar normal.,NEU,NEU,NEG,NEG
Sottovoce,Lugar sucio.,NEU,NEU,NEU,NEG
Rapanui,Ambiente estandar y regular la comida.,NEU,NEU,NEU,NEU
Sottovoce,Muy atentos en todo momento y horrible sabor.,NEG,POS,NEU,NEU
Antares,Te arrancan la cabeza.,NEU,NEU,NEG,NEG
Don Julio,Precios accesibles y ideal para perder el tiempo.,NEU,NEG,POS,NEU
Las Violetas,Muy linda decoracion.,NEU,NEU,NEU,POS
La Parolaccia,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
Sottovoce,Lindo lugar y nadie nos prestaba atención.,NEU,NEG,NEU,NEU
Don Julio,El lugar es hermoso.,NEU,NEU,NEU,POS
Don Julio,Nadie nos prestaba atención.,NEU,NEG,NEU,NEG
Pizzería Guerrin,No vale lo que cuesta y muy mala onda los empleados.,NEU,NEG,NEG,NEG
Don Julio,Precio acorde.,NEU,NEU,NEU,NEU
Rapanui,La atención fue pésima y excelente relación precio calidad.,NEU,NEG,POS,NEU
La Cabrera,Nada especial el lugar y precios accesibles.,NEU,NEU,POS,POS
El Cuartito,"Me pareció carísimo, los platos son abundantes y deliciosos y nada especial el lugar.",POS,NEU,NEG,NEU
La Mezzetta,Me encantó la comida y tiempos de espera normales.,POS,NEU,NEU,POS
Don Julio,Todo helado y mala ambientacion.,NEG,NEU,NEU,NEG
Las Violetas,"Lugar feo, la carne era una manteca y el servicio correcto.",POS,NEU,NEU,NEU
Sottovoce,Lindo lugar y atención sin destacar.,NEU,NEU,NEU,POS
Las Violetas,"Lo que esperas pagar, tardaron mil años en atender y me gusto mucho.",POS,NEG,NEU,NEU
El Cuartito,No vale lo que cuesta y nada bueno.,NEG,NEU,NEG,NEG
La Mezzetta,Me gusto mucho y la atención normal.,POS,NEU,NEU,POS
Las Violetas,Platos estándar.,NEU,NEU,NEU,NEU
Kansas,"Buen ambiente, servicio excelente y ni muy muy ni tan tan.",NEU,POS,NEU,POS
La Parolaccia,Bastante barato y vino frio.,NEG,NEU,POS,NEU
Antares,"Precio acorde, la comida llegó fría y el lugar esta bueno.",NEG,NEU,NEU,NEU
Rapanui,"La comida normal, tiempos de espera normales y buen precio.",NEU,NEU,POS,POS
Sottovoce,"Me pareció carísimo, buen ambiente y me gusto mucho.",POS,NEU,NEG,POS
La Mezzetta,Buen precio y mala ambientacion.,NEU,NEU,POS,NEU
Antares,"Comida aceptable, no es caro y tardaron mil años en atender.",NEU,NEG,POS,NEU
La Mezzetta,Me pareció carísimo y atención sin destacar.,NEU,NEU,NEG,NEG
La Cabrera,No es barato ni caro.,NEU,NEU,NEU,NEU
La Parolaccia,Excelente relación precio calidad y buen ambiente.,NEU,NEU,POS,POS
El Cuartito,Lugar feo.,NEU,NEU,NEU,NEG
Kansas,El lugar se cae a pedazos y tardaron mil años en atender.,NEU,NEG,NEU,NEG
Kansas,La comida llegó fría y nada especial el lugar.,NEG,NEU,NEU,NEG
Rapanui,Regular la comida y muy atentos en todo momento.,NEU,POS,NEU,POS
Rapanui,Atención rápida y cordial y el lugar es hermoso.,NEU,POS,NEU,POS
La Mezzetta,"Ni muy muy ni tan tan, precios elevados y atención rápida y cordial.",NEU,POS,NEG,NEU
Antares,Ambiente estandar.,NEU,NEU,NEU,NEU
Las Violetas,Muy atentos en todo momento.,NEU,POS,NEU,POS
Sottovoce,"El lugar es hermoso, excelente relación precio calidad y servicio excelente.",NEU,POS,POS,POS
Kansas,Precios accesibles.,NEU,NEU,POS,POS
Pizzería Guerrin,"La atención normal, lugar normal y la comida normal.",NEU,NEU,NEU,NEU
El Cuartito,El mozo super amable.,NEU,POS,NEU,POS
Las Violetas,La pizza es la mejor de buenos aires y muy caro.,POS,NEU,NEG,NEU
La Parolaccia,Lugar normal y nos atendieron de maravilla.,NEU,POS,NEU,POS
La Cabrera,Bastante barato y servicio lento y malo.,NEU,NEG,POS,NEU
La Cabrera,Nos atendieron de maravilla y poco rico.,NEG,POS,NEU,NEU
Kansas,Si te gusta esperar este es tu lugar.,NEU,NEG,NEU,NEG
La Parolaccia,Buen ambiente.,NEU,NEU,NEU,POS
Sottovoce,Excelente sabor.,POS,NEU,NEU,POS
Pizzería Guerrin,Tiempos de espera normales y la carne estaba dura.,NEG,NEU,NEU,NEG
La Mezzetta,Buen precio.,NEU,NEU,POS,POS
Las Violetas,Poco rico y nada especial el lugar.,NEG,NEU,NEU,NEG
Sottovoce,"Buen precio, ni muy muy ni tan tan y nada especial el lugar.",NEU,NEU,POS,POS
El Pobre Luis,Tiempos de espera normales.,NEU,NEU,NEU,NEU
Las Violetas,Regular la comida y cumplieron con el pedido.,NEU,NEU,NEU,NEU
Kansas,"El lugar esta bueno, nos atendieron de maravilla y la comida normal.",NEU,POS,NEU,POS
Rapanui,Buen precio y la comida estaba exquisita.,POS,NEU,POS,POS
Kansas,"No es barato ni caro, el servicio correcto y buen ambiente.",NEU,NEU,NEU,POS
La Mezzetta,Te arrancan la cabeza.,NEU,NEU,NEG,NEG
Rapanui,"Servicio excelente, precios por las nubes y lugar feo.",NEU,POS,NEG,NEG
Pizzería Guerrin,Platos estándar y atención rápida y cordial.,NEU,POS,NEU,POS
La Mezzetta,Lindo lugar y tiempos de espera normales.,NEU,NEU,NEU,POS
Kansas,Cumplieron con el pedido y que rica comida.,POS,NEU,NEU,POS
Sottovoce,Precios accesibles.,NEU,NEU,POS,POS
El Cuartito,Lo que esperas pagar.,NEU,NEU,NEU,NEU
La Parolaccia,Lindo lugar y la atención fue genial.,NEU,POS,NEU,POS
Don Julio,"Me gusto mucho, el lugar esta bueno y precios de mercado.",POS,NEU,NEU,POS
Kansas,"Nos atendieron de maravilla, no es caro y me encantó la comida.",POS,POS,POS,POS
El Cuartito,Mala ambientacion y la comida normal.,NEU,NEU,NEU,NEG
La Cabrera,La atención fue genial y muy caro.,NEU,POS,NEG,NEU
La Parolaccia,Excelente relación precio calidad y platos estándar.,NEU,NEU,POS,POS
Rapanui,Falta personal y todo muy grasoso.,NEG,NEG,NEU,NEG
Rapanui,"El lugar se cae a pedazos, muy mala onda los empleados y sabroso y fresco.",POS,NEG,NEU,NEG
Antares,Ambiente estandar y precio acorde.,NEU,NEU,NEU,NEU
La Cabrera,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
La Parolaccia,Nos atendieron de maravilla y lindo lugar.,NEU,POS,NEU,POS
El Cuartito,Precios de mercado y muy mala onda los empleados.,NEU,NEG,NEU,NEG
Antares,No me gusto el ambiente y me pareció carísimo.,NEU,NEU,NEG,NEG
El Pobre Luis,Buen ambiente.,NEU,NEU,NEU,POS
La Mezzetta,Todo muy rico y precio acorde.,POS,NEU,NEU,POS
Pizzería Guerrin,Que rica comida y el lugar es hermoso.,POS,NEU,NEU,POS
Don Julio,"Lo que esperas pagar, incomible y la atención fue genial.",NEG,POS,NEU,NEU
El Pobre Luis,No es caro.,NEU,NEU,POS,POS
Antares,Tardaron mil años en atender.,NEU,NEG,NEU,NEG
Kansas,"Lugar normal, que rica comida y falta personal.",POS,NEG,NEU,NEU
Don Julio,"La atención normal, buen ambiente y te arrancan la cabeza.",NEU,NEU,NEG,NEU
La Parolaccia,Ambiente estandar.,NEU,NEU,NEU,NEU
Don Julio,"Regular la comida, gracias por la demora y no es caro.",NEU,NEG,POS,NEU
Antares,No me gusto el lugar.,NEU,NEU,NEU,NEG
Pizzería Guerrin,Precios de mercado y no me pareció rico.,NEG,NEU,NEU,NEG
Sottovoce,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
El Pobre Luis,"Regular la comida, no es barato ni caro y atención rápida y cordial.",NEU,POS,NEU,POS
Pizzería Guerrin,Vino frio y me encanto esperar 2 horas.,NEG,NEG,NEU,NEG
Las Violetas,"Muy linda decoracion, tiempos de espera normales y regular la comida.",NEU,NEU,NEU,POS
Sottovoce,Precios accesibles y me encanto esperar 2 horas.,NEU,NEG,POS,NEU
Kansas,Si te gusta esperar este es tu lugar.,NEU,NEG,NEU,NEG
El Cuartito,Lindo lugar.,NEU,NEU,NEU,POS
Las Violetas,El lugar esta bueno y no es caro.,NEU,NEU,POS,POS
Pizzería Guerrin,La atención normal y la pizza estaba cruda.,NEG,NEU,NEU,NEG
El Pobre Luis,Cumplieron con el pedido y me gusto el lugar.,NEU,NEU,NEU,POS
La Parolaccia,Buen ambiente y poco bueno.,NEG,NEU,NEU,NEU
Sottovoce,La atención fue pésima y nos llego todo frio.,NEG,NEG,NEU,NEG
Antares,"Servicio lento y malo, excelente sabor y no me gusto el lugar.",POS,NEG,NEU,NEG
Sottovoce,Muy mala onda los empleados.,NEU,NEG,NEU,NEG
Las Violetas,Nos atendieron de maravilla.,NEU,POS,NEU,POS
Antares,Me gusto el lugar.,NEU,NEU,NEU,POS
La Mezzetta,Buen precio y me encanto esperar 2 horas.,NEU,NEG,POS,NEU
Pizzería Guerrin,Buen ambiente y todo muy rico.,POS,NEU,NEU,POS
El Pobre Luis,Muy linda decoracion y la atención fue genial.,NEU,POS,NEU,POS
Sottovoce,Lugar sucio y muy atentos en todo momento.,NEU,POS,NEU,NEU
Sottovoce,El lugar es hermoso y me gusto mucho.,POS,NEU,NEU,POS
Las Violetas,Te arrancan la cabeza.,NEU,NEU,NEG,NEG
Sottovoce,Lugar normal y la pizza es la mejor de buenos aires.,POS,NEU,NEU,POS
Las Violetas,"Lugar sucio, nadie nos prestaba atención y ni muy muy ni tan tan.",NEU,NEG,NEU,NEG
Sottovoce,Lindo lugar y estaba rico.,POS,NEU,NEU,POS
Don Julio,Estaba rico y bastante barato.,POS,NEU,POS,POS
Kansas,La atención normal y precios accesibles.,NEU,NEU,POS,POS
Antares,La comida normal.,NEU,NEU,NEU,NEU
La Mezzetta,Precios de mercado y todo helado.,NEG,NEU,NEU,NEG
Rapanui,"Me gusto mucho, lugar feo y atención sin destacar.",POS,NEU,NEU,NEU
Rapanui,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
La Mezzetta,Nada especial el lugar.,NEU,NEU,NEU,NEU
Antares,Lugar sucio y nada bueno.,NEG,NEU,NEU,NEG
La Parolaccia,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
La Parolaccia,Lugar normal y precios de mercado.,NEU,NEU,NEU,NEU
Rapanui,Ni muy muy ni tan tan.,NEU,NEU,NEU,NEU
Kansas,Excelente relación precio calidad y teniamos frio.,NEG,NEU,POS,NEU
Kansas,No es caro.,NEU,NEU,POS,POS
El Pobre Luis,Destaco la atención.,NEU,POS,NEU,POS
Pizzería Guerrin,Ni muy muy ni tan tan.,NEU,NEU,NEU,NEU
Sottovoce,No estaba rico.,NEG,NEU,NEU,NEG
Sottovoce,"El lugar es hermoso, precios de mercado y la pizza es la mejor de buenos aires.",POS,NEU,NEU,POS
El Cuartito,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
El Cuartito,Precios accesibles.,NEU,NEU,POS,POS
Don Julio,La comida llegó fría.,NEG,NEU,NEU,NEG
Sottovoce,"El lugar se cae a pedazos, tiempos de espera normales y regular la comida.",NEU,NEU,NEU,NEG
Kansas,Cumplieron con el pedido.,NEU,NEU,NEU,NEU
La Parolaccia,Buen ambiente y muy mala onda los empleados.,NEU,NEG,NEU,NEU
Don Julio,Bastante barato y gracias por la demora.,NEU,NEG,POS,NEU
El Cuartito,La comida normal y bastante barato.,NEU,NEU,POS,POS
La Parolaccia,Tiempos de espera normales.,NEU,NEU,NEU,NEU
El Pobre Luis,"Destaco la atención, excelente relación precio calidad y genial si te gusta comer frio.",NEG,POS,POS,POS
Rapanui,"Precio acorde, cumplieron con el pedido y nada del otro mundo la comida.",NEU,NEU,NEU,NEU
La Mezzetta,Cumplieron con el pedido y el lugar esta bueno.,NEU,NEU,NEU,POS
Don Julio,Brillante atencion si no tienes prisa.,NEU,NEG,NEU,NEG
Kansas,Un poco caro.,NEU,NEU,NEG,NEG
La Parolaccia,Lo que esperas pagar.,NEU,NEU,NEU,NEU
Sottovoce,Vino frio y muy mala onda los empleados.,NEG,NEG,NEU,NEG
El Cuartito,Me gusto el lugar.,NEU,NEU,NEU,POS
La Cabrera,Que rica comida y lo que esperas pagar.,POS,NEU,NEU,POS
La Cabrera,No vale lo que cuesta y la carne era una manteca.,POS,NEU,NEG,NEU
Pizzería Guerrin,Ambiente estandar y lo que esperas pagar.,NEU,NEU,NEU,NEU
Antares,El servicio correcto.,NEU,NEU,NEU,NEU
Sottovoce,"Me gusto mucho, excelente relación precio calidad y lugar normal.",POS,NEU,POS,POS
Don Julio,Excelente relación precio calidad.,NEU,NEU,POS,POS
Antares,Me gusto el lugar y el servicio correcto.,NEU,NEU,NEU,POS
La Cabrera,"La comida una obra de arte abstracto del horror, muy atentos en todo momento y ambiente estandar.",NEG,POS,NEU,NEU
Las Violetas,"Lo que esperas pagar, el lugar esta bueno y destaco la atención.",NEU,POS,NEU,POS
La Cabrera,Excelente relación precio calidad y me gusto el lugar.,NEU,NEU,POS,POS
La Parolaccia,Bastante barato y el servicio correcto.,NEU,NEU,POS,POS
